2017-03-13,1640
2017-03-14,1405
2017-03-15,1472
2017-03-16,2096
2017-03-17,1477
2017-03-18,765
2017-03-19,763
2017-03-20,854
2017-03-21,1196
2017-03-22,1045
2017-03-23,1753
2017-03-24,2770
2017-03-25,1963
2017-03-26,785
2017-03-27,873
2017-03-28,649
2017-03-29,1262
2017-03-30,1742
2017-03-31,2142
2017-04-01,850
2017-04-02,2465
2017-04-03,881
2017-04-04,624
2017-04-05,1040
2017-04-06,1212
2017-04-07,864
2017-04-08,571
2017-04-09,753
2017-04-10,1494
2017-04-11,771
2017-04-12,694
2017-04-13,1067
2017-04-14,974
2017-04-15,583
2017-04-16,424
2017-04-17,668
2017-04-18,5377
2017-04-19,2061
2017-04-20,1275
2017-04-21,784
2017-04-22,584
2017-04-23,1097
2017-04-24,1366
2017-04-25,1530
2017-04-26,1211
2017-04-27,2192
2017-04-28,1072
2017-04-29,514
2017-04-30,624
2017-05-01,387
2017-05-02,894
2017-05-03,1146
2017-05-04,1165
2017-05-05,671
2017-05-06,626
2017-05-07,539
2017-05-08,528
2017-05-09,568
2017-05-10,1240
2017-05-11,1676
2017-05-12,1195
2017-05-13,1694
2017-05-14,1882
2017-05-15,968
2017-05-16,1719
2017-05-17,1155
2017-05-18,821
2017-05-19,1635
2017-05-20,1030
2017-05-21,1079
2017-05-22,747
2017-05-23,696
2017-05-24,817
2017-05-25,672
2017-05-26,718
2017-05-27,691
2017-05-28,475
2017-05-29,489
2017-05-30,904
2017-05-31,1105
2017-06-01,1404
2017-06-02,1258
2017-06-03,583
2017-06-04,711
2017-06-05,1565
2017-06-06,1458
2017-06-07,1381
2017-06-08,1205
2017-06-09,978
2017-06-10,984
2017-06-11,790
2017-06-12,781
2017-06-13,834
2017-06-14,1011
2017-06-15,762
2017-06-16,792
2017-06-17,658
2017-06-18,1613
2017-06-19,1984
2017-06-20,1665
2017-06-21,2929
2017-06-22,5561
2017-06-23,4373
2017-06-24,1889
2017-06-25,2213
2017-06-26,2493
2017-06-27,2963
2017-06-28,16919
2017-06-29,6902
2017-06-30,2154
2017-07-01,2526
2017-07-02,1035
2017-07-03,1370
2017-07-04,2134
2017-07-05,1243
2017-07-06,825
2017-07-07,1319
2017-07-08,1225
2017-07-09,2606
2017-07-10,1468
2017-07-11,2096
2017-07-12,1213
2017-07-13,1630
2017-07-14,3722
2017-07-15,1553
2017-07-16,929
2017-07-17,1324
2017-07-18,699
2017-07-19,790
2017-07-20,1054
2017-07-21,1079
2017-07-22,1509
2017-07-23,610
2017-07-24,1006
2017-07-25,1062
2017-07-26,920
2017-07-27,916
2017-07-28,1088
2017-07-29,766
2017-07-30,628
2017-07-31,9996
2017-08-01,6572
2017-08-02,2798
2017-08-03,863
2017-08-04,661
2017-08-05,731
2017-08-06,421
2017-08-07,5418
2017-08-08,1731
2017-08-09,1402
2017-08-10,1707
2017-08-11,849
2017-08-12,881
2017-08-13,600
2017-08-14,698
2017-08-15,595
2017-08-16,1179
2017-08-17,811
2017-08-18,1121
2017-08-19,872
2017-08-20,835
2017-08-21,1023
2017-08-22,1012
